"data","volumes","observation","dilution","deviation"
1,15.024977,0.069951,-0.001953538,0.000001
2,15.049954,0.069513,0.002471029,0.000001
3,15.074931,0.069854,-0.00017689,0.000001
4,15.099908,0.071474,0.000556654,0.000001
5,15.124885,0.067108,0.00070773,0.000001
6,15.149862,0.066289,0.001854236,0.000001
7,15.174839,0.056026,0.001081072,0.000001
8,15.199816,0.044493,0.000473122,0.000001
9,15.224793,0.027882,0.00106313,0.000001
10,15.24977,0.009239,0.000271799,0.000001
11,15.274747,0.003057,0.001168423,0.000001
12,15.299724,0.002486,0.000232129,0.000001
13,15.324701,0.000906,0.000917353,0.000001
14,15.349678,0.00004,0.001269958,0.000001
15,15.374655,-0.001894,-0.000397241,0.000001
